Type,Prompt,Correct Answer,Choices
mcq,"Which term means: ""A woodwind instrument used in the Classical orchestra (often as a transposing instrument) and notably featured in Mozart’s Quintet K. 452.""?","clarinet","clarinet | rhythmic cycles | Emilie Mayer | diminuendo"
mcq,"What is ""clarinets in A""?","A common transposing instrument in the orchestra, for which candidates must be able to transpose parts to concert pitch.","Minor changes in pitch, often utilized in modern
  production techniques. | A rhythmic, accented style, contrasting with the lyrical
  style in Tango melodies. | A common transposing instrument in the orchestra, for which candidates must be able to transpose parts to concert pitch. | The application of one note per syllable of text."
mcq,"Which term means: ""A common transposing instrument in the orchestra, for which candidates must be able to transpose parts to concert pitch.""?","clarinets in A","construction materials | stylistic | clarinets in A | durations"
mcq,"What is ""clarinets in B flat""?","A common transposing instrument in the orchestra, for which candidates must be able to transpose parts to concert pitch.","A common transposing instrument in the orchestra, for which candidates must be able to transpose parts to concert pitch. | Afro-Cuban drums used as percussion in Salsa ensembles. | Analytical skills required to interpret non-Western
  classical traditions like Hindustani or Arab music. | The traditional emotional association of the major key in Western music."
mcq,"Which term means: ""A common transposing instrument in the orchestra, for which candidates must be able to transpose parts to concert pitch.""?","clarinets in B flat","ripieno | leaps | chamber music ensembles | clarinets in B flat"
mcq,"What is ""clashing""?","A descriptive term for notes or chords that are dissonant (unstable or grating).","An expressive technique involving a continuous slide in pitch between two notes, used for intensity in Tango and non-... | A descriptive term for notes or chords that are dissonant (unstable or grating). | Woodwind instruments, included in the Baroque/Classical orchestra, and essential to the Silk and Bamboo ensemble (diz... | Extreme skill demonstrated by a performer, especially
  during a cadenza."
mcq,"Which term means: ""A descriptive term for notes or chords that are dissonant (unstable or grating).""?","clashing","cross-rhythms | tone poem | ORNATE | clashing"
mcq,"What is ""Classical aesthetic""?","The fundamental artistic ideals of the Classical period, prioritizing order, balance, and formal clarity.","The technological mechanism that transformed brass
  instruments in the 19th century, increasing their range and flex... | Adjective describing a clear, uncluttered texture, often
  used to characterize the homophony of the Classical period. | The fundamental artistic ideals of the Classical period, prioritizing order, balance, and formal clarity. | Plural form of oboe."
mcq,"Which term means: ""The fundamental artistic ideals of the Classical period, prioritizing order, balance, and formal clarity.""?","Classical aesthetic","Classical aesthetic | full texture | portamento (slides) | scale degrees"
mcq,"What is ""Classical Music""?","The period of Western music spanning approximately c. 1750–1810 (Area of Study 2), known for the development of sonat...","The classification system for time signatures, required
  knowledge across all Areas of Study. | Harmony or melody utilizing notes belonging strictly to the major or minor scale without the use of accidentals (note... | The period of Western music spanning approximately c. 1750–1810 (Area of Study 2), known for the development of sonat... | The strings section (violins, violas, cellos, double
  basses) that forms the core of the Baroque and later orchestras."
mcq,"Which term means: ""The period of Western music spanning approximately c. 1750–1810 (Area of Study 2), known for the development of sonata form and homophonic texture.""?","Classical Music","chord inversions | Classical Music | triad | Musicology"
mcq,"What is ""clavé""?","The fundamental rhythmic pattern or interlocking polyrhythmic pattern that forms the rhythmic core of Salsa music, of...","A sudden, strong emphasis placed on a note or chord. | A structural form, such as the organization of pieces in
  Arab Takht Ensembles (a series of pieces in the same maqām... | A short, recurring musical motif, often instrumental,
  designed to ensure memorability, especially in popular song a... | The fundamental rhythmic pattern or interlocking polyrhythmic pattern that forms the rhythmic core of Salsa music, of..."
mcq,"Which term means: ""The fundamental rhythmic pattern or interlocking polyrhythmic pattern that forms the rhythmic core of Salsa music, often perceived as a two-bar rhy...""?","clavé","Concert Overture | Rhythmic Flexibility | clavé | note values"
mcq,"What is ""clavés (hardwood sticks)""?","The specific percussion instrument central to Salsa music, consisting of two cylindrical hardwood sticks struck toget...","The Focus Work for Area of Study 3 (Romantic Music), a
  programmatic symphonic poem used to exemplify Nationalism an... | A chamber music ensemble consisting of piano, violin,
  and cello. | The perceived thickness or fullness of a musical texture,
  created by layering instruments or using cluster chords. | The specific percussion instrument central to Salsa music, consisting of two cylindrical hardwood sticks struck toget..."
mcq,"Which term means: ""The specific percussion instrument central to Salsa music, consisting of two cylindrical hardwood sticks struck together, used to play the clavé rh...""?","clavés (hardwood sticks)","clavés (hardwood sticks) | musical conventions | multi-tracking | voices"
mcq,"What is ""clear sense of tonality""?","The music possesses a clearly defined key center.","The general tonal quality of Tango music, which is often
  dominated by minor keys to convey melancholia. | The neighborhood in New York City (NYC) where the Salsa genre emerged after WWII due to Latin American immigration. | The specific Italian terminology required for mutes, used
  on brass or string instruments. | The music possesses a clearly defined key center."
mcq,"Which term means: ""The music possesses a clearly defined key center.""?","clear sense of tonality","double choir settings | mouth organs | chromaticism | clear sense of tonality"
mcq,"What is ""climax""?","A moment of structural or emotional peak, often marked by the highest volume or greatest intensity. In Hindustani mus...","A moment of structural or emotional peak, often marked by the highest volume or greatest intensity. In Hindustani mus... | A renowned performer suggested as an example for listening
  to Hindustani classical music, specifically Rāga khamāj. | A homophonic texture typically involving four voices (SATB) moving rhythmically together, supporting a clear melodic ... | A fretless lute used as a melodic instrument in Hindustani
  classical music."
mcq,"Which term means: ""A moment of structural or emotional peak, often marked by the highest volume or greatest intensity. In Hindustani music, the fast jhālā section ser...""?","climax","violins | Philosophical shift | climax | unmetred vocal improvisation"
mcq,"What is ""closely related keys""?","Keys located within one step of the tonic on the circle of fifths (e.g., dominant, subdominant, relative major/minor)...","Harmony built fundamentally on the notes of the established major or minor scale. | The singular feeling or ""affection"" sustained throughout a Baroque movement. | Keys located within one step of the tonic on the circle of fifths (e.g., dominant, subdominant, relative major/minor)... | The primary chords (Tonic I and Dominant V) heavily relied upon in functional harmony, particularly in the Baroque era."
mcq,"Which term means: ""Keys located within one step of the tonic on the circle of fifths (e.g., dominant, subdominant, relative major/minor) to which modulation primarily...""?","closely related keys","closely related keys | Sonate Form | chromatic scales | low brass"
mcq,"What is ""cluster chords""?","Highly dissonant chords formed by groups of adjacent notes played simultaneously, employed in modernist ballet or sus...","A digital streaming platform recommended for revision and
  finding further listening examples across all Areas of St... | Highly dissonant chords formed by groups of adjacent notes played simultaneously, employed in modernist ballet or sus... | The specific function of the Chorus audio effect, which layers slightly detuned versions of the source sound to creat... | The specific K&ouml;chel catalogue number for Mozart's Focus Work, the Quintet for piano and winds in E flat major (M..."
mcq,"Which term means: ""Highly dissonant chords formed by groups of adjacent notes played simultaneously, employed in modernist ballet or suspenseful film scores to create...""?","cluster chords","cluster chords | Niccolò Paganini | pitch-bending | question"
mcq,"What is ""coda""?","A formal concluding section added after the main structure (e.g., sonata form or rondo), typically serving to reinfor...","Percussion instruments essential to the rhythmic core of
  Salsa music. | A production technique involving layering identical vocal or instrumental parts (often recorded multiple times) to cr... | A formal concluding section added after the main structure (e.g., sonata form or rondo), typically serving to reinfor... | Refers to rhythmic organization, such as regular metres
  (duple, triple, quadruple) or the regular, balanced phrases..."
mcq,"Which term means: ""A formal concluding section added after the main structure (e.g., sonata form or rondo), typically serving to reinforce the tonic key and provide a...""?","coda","dominant pedal | pulse | structural mechanism | coda"
mcq,"What is ""codetta""?","A short concluding phrase for a section, such as the final bars of the Exposition in sonata form.","A short concluding phrase for a section, such as the final bars of the Exposition in sonata form. | Traditional dances whose rhythmic patterns are incorporated into larger compositions, often for nationalist purposes ... | A common transposing instrument in the orchestra, requiring candidates to understand transposition to concert pitch [... | A brass instrument used in the orchestra (often as a transposing instrument in F or E flat)."
mcq,"Which term means: ""A short concluding phrase for a section, such as the final bars of the Exposition in sonata form.""?","codetta","SATB | The Moldau | codetta | verse"
mcq,"What is ""color""?","Refers to timbre or tone colour.","A common transposing instrument in the orchestra, requiring candidates to understand transposition to concert pitch. | Refers to timbre or tone colour. | A closely related key, specifically the minor key based on
  the relative major's tonic (e.g., C# minor is the relati... | A hammered dulcimer, a Silk Instrument played with bamboo
  hammers in Chinese ensembles."
mcq,"Which term means: ""Refers to timbre or tone colour.""?","color","Symphony | cipher notation | intricate and complex patterns | color"
mcq,"What is ""colour""?","Alternative spelling of color, referring to timbre or tonal effects, especially noted in the expanded orchestration o...","An expressive technique involving a continuous slide in pitch between two notes, used for intensity in Tango and non-... | Alternative spelling of color, referring to timbre or tonal effects, especially noted in the expanded orchestration o... | A form of social identity symbolized by the genre Salsa
  among immigrants in New York. | The required skill of aural perception and discrimination, crucial for successful analysis in Component 1."
mcq,"Which term means: ""Alternative spelling of color, referring to timbre or tonal effects, especially noted in the expanded orchestration of the Romantic period.""?","colour","phrases | colour | Fr“d”ric Chopin | sound quality"
mcq,"What is ""Component 2""?","The performing assessment component of the syllabus, where technical control and interpretation of expressive marking...","A main sectional element of popular song structure,
  typically alternating with the chorus. | A type of percussion instrument used to create syncopated
  percussion in EDM. | Melodic movement that proceeds primarily by step (stepwise movement). | The performing assessment component of the syllabus, where technical control and interpretation of expressive marking..."
mcq,"Which term means: ""The performing assessment component of the syllabus, where technical control and interpretation of expressive markings are assessed.""?","Component 2","Component 2 | tonic key | repeated notes | Dissonance"
mcq,"What is ""composer""?","The individual who creates the musical work.","Building melodies from short, recurring melodic fragments. | The individual who creates the musical work. | A time signature where the beat is subdivided into three (e.g., 6/8, 9/8), distinguishing it from simple time signatu... | An interval span; multiple parts playing the same line separated by this interval results in doubling in octaves."
mcq,"Which term means: ""The individual who creates the musical work.""?","composer","graded dynamic changes | programme music | pattern of beats | composer"
mcq,"What is ""compound duple time""?","A compound time signature (e.g., 6/8 or 6/4) organized into two main beats, characterizing the main theme of Smetana'...","The compositional technique of altering a theme (e.g., a leitmotif)
  through changes in rhythm, harmony, or register... | A compound time signature (e.g., 6/8 or 6/4) organized into two main beats, characterizing the main theme of Smetana'... | The maximum complexity of key signature required for students to read and interpret in Classical and Romantic scores. | Specialized performance techniques on instruments (e.g., tremolo, ornamentation, pizzicato)."
mcq,"Which term means: ""A compound time signature (e.g., 6/8 or 6/4) organized into two main beats, characterizing the main theme of Smetana's Vltava.""?","compound duple time","phrase construction | compound duple time | musical features | cross-rhythm"
mcq,"What is ""compound time signature""?","A time signature where the beat is subdivided into three (e.g., 6/8, 9/8), distinguishing it from simple time signatu...","In Hindustani Classical Music, the fixed composition section following the improvisatory ālāp and j“r. The tabl” (dru... | A key concept often linked to a Leitmotif, which is
  intrinsically associated with a specific character or idea. | The specific K&ouml;chel catalogue number for Mozart's Focus Work, the Quintet for piano and winds in E flat major (M... | A time signature where the beat is subdivided into three (e.g., 6/8, 9/8), distinguishing it from simple time signatu..."
mcq,"Which term means: ""A time signature where the beat is subdivided into three (e.g., 6/8, 9/8), distinguishing it from simple time signatures.""?","compound time signature","compound time signature | rising scales | descending | disjunct"
mcq,"What is ""computer game music""?","A focus genre in Area of Study 7, characterized by the use of loops, ostinatos, electronic sounds, and adaptive music...","A single melodic part, or monophonic texture. | A focus genre in Area of Study 7, characterized by the use of loops, ostinatos, electronic sounds, and adaptive music... | Sections within a solo concerto (like Vivaldi’s Spring)
  where a single instrument takes the lead, often featuring h... | A lively American folk dance, part of Copland's ballet Rodeo, used to celebrate a lively atmosphere."
mcq,"Which term means: ""A focus genre in Area of Study 7, characterized by the use of loops, ostinatos, electronic sounds, and adaptive music principles to support gameplay.""?","computer game music","syllabic settings | fanfares | major key passages | computer game music"
mcq,"What is ""Concert Overture""?","A freestanding orchestral work (not attached to an opera or larger work) that often follows the structure of sonata f...","Insistent, continuous rhythmic patterns, essential to Dance Music (Tango, Salsa, EDM) and Pop. | Rhythms where accents fall on weaker beats or off-beats;
  the Spanish term sincopa refers to this rhythm, which is f... | A freestanding orchestral work (not attached to an opera or larger work) that often follows the structure of sonata f... | A homophonic texture typically involving four voices (SATB) moving rhythmically together, supporting a clear melodic ..."
mcq,"Which term means: ""A freestanding orchestral work (not attached to an opera or larger work) that often follows the structure of sonata form.""?","Concert Overture","Sizhu | Concert Overture | Leitmotifs | grandeur"
mcq,"What is ""concert pitch""?","The actual sounding pitch of a note or part, which candidates must calculate when dealing with transposing instruments.","A traditional musical form based on the return of a main
  theme (A) alternating with contrasting sections (e.g., ABA... | The actual sounding pitch of a note or part, which candidates must calculate when dealing with transposing instruments. | Leaders of an orchestra who became necessary in the Romantic period due to the large scale and complex scores of the ... | A structure comprised of distinct, clearly defined parts
  or sections, often reflecting a narrative (as in the symph..."
mcq,"Which term means: ""The actual sounding pitch of a note or part, which candidates must calculate when dealing with transposing instruments.""?","concert pitch","syncopated percussion | Clara Schumann | dynamic contrast | concert pitch"
mcq,"What is ""concertino""?","The small group of soloists in a concerto grosso, playing the contrasting episodes and differentiating themselves fro...","Describing a contrapuntal texture involving imitation, typical of the faster main section of the French Overture or M... | A woodwind instrument, part of the woodwind section in the
  Baroque and Classical orchestras. | The small group of soloists in a concerto grosso, playing the contrasting episodes and differentiating themselves fro... | Devices used to produce musical sounds."
mcq,"Which term means: ""The small group of soloists in a concerto grosso, playing the contrasting episodes and differentiating themselves from the larger orchestral body (...""?","concertino","Wolfgang Amadeus Mozart | off-beats | simple and compound time | concertino"
mcq,"What is ""Concerto""?","An instrumental genre defined by the contrast between a solo instrument (or group of soloists) and the larger accompa...","The highly emphasized first beat of the rhythmic cycle (tāla)
  in Hindustani classical music. | Abbreviated form of computer game music. | An instrumental genre defined by the contrast between a solo instrument (or group of soloists) and the larger accompa... | The chorus section in Salsa music is known as the montuno.
  The term also describes the pattern played by pianists i..."
mcq,"Which term means: ""An instrumental genre defined by the contrast between a solo instrument (or group of soloists) and the larger accompanying orchestra.""?","Concerto","chorus | Rhythmic Variety | Concerto | Op. 15"
mcq,"What is ""Concerto Grosso in G minor""?","A wider listening example cited (Corelli, Op. 6 No. 8) that influenced Handel and is characteristic of the Baroque st...","Note values, used frequently for rhythmic drive and
  virtuosity in Baroque, Romantic, and Dance music. | These are intervals smaller than a standard Western
  semitone. The maqām system in Arab music is uniquely structured... | The explicit naming of the Imperfect Cadence. | A wider listening example cited (Corelli, Op. 6 No. 8) that influenced Handel and is characteristic of the Baroque st..."
mcq,"Which term means: ""A wider listening example cited (Corelli, Op. 6 No. 8) that influenced Handel and is characteristic of the Baroque style.""?","Concerto Grosso in G minor","pizz. | erhu | Concerto Grosso in G minor | electric guitar"
mcq,"What is ""congas""?","Afro-Cuban drums used as percussion in Salsa ensembles.","A hollowed component that forms the resonator body of string instruments like the sītār. | Established Italian terms (e.g., Allegro, Adagio)
  that convey the speed and intended expression of a movement. | See unaccompanied line. | Afro-Cuban drums used as percussion in Salsa ensembles."
mcq,"Which term means: ""Afro-Cuban drums used as percussion in Salsa ensembles.""?","congas","congas | Ornamental complexity | George Frideric Handel | clarinets in B flat"
mcq,"What is ""conjunct""?","Melodic movement that proceeds primarily by step (stepwise movement).","Melodic movement that proceeds primarily by step (stepwise movement). | The unique sound quality or color of instruments. | Abbreviation for Opus 10, No. 3, part of the title of
  Chopin’s &Eacute;tude in E, a wider listening example demonst... | Multiple performers (voices or instruments) playing or
  singing the exact same melodic line (or sometimes doubled in..."
mcq,"Which term means: ""Melodic movement that proceeds primarily by step (stepwise movement).""?","conjunct","fugue | conjunct | Rhythm | lead vocal"
mcq,"What is ""conjunct/scalic""?","Explicit definition for stepwise melodic movement.","Explicit definition for stepwise melodic movement. | A short, rapid melodic ornament involving the main note and the note above or below it. | The forward momentum created by rhythmic patterns,
  particularly important in Baroque, Classical, and Dance music. | Abbreviated term for Basso Continuo."
mcq,"Which term means: ""Explicit definition for stepwise melodic movement.""?","conjunct/scalic","conjunct/scalic | North Africa | colour | virtuosity"
mcq,"What is ""consequent""?","The ""answer"" phrase, following the antecedent (""question"") phrase in balanced Classical melodic structure.","The core musical element concerning volume levels and expressive changes throughout a piece. | The speed of dance music, typically consistent and referred to in BPM. | The precise Italian terminology required for mutes, used
  to soften or veil the sound, as utilized by Smetana in Vlt... | The ""answer"" phrase, following the antecedent (""question"") phrase in balanced Classical melodic structure."
mcq,"Which term means: ""The ""answer"" phrase, following the antecedent (""question"") phrase in balanced Classical melodic structure.""?","consequent","consequent | construction materials | rhythmic density | Don Juan (1926)"
mcq,"What is ""consistent""?","Maintaining a steady, unchanging quality, essential for tempo in dance music to support the movement activity.","Refers to the emphasized beat (ban) in the Chinese banyan
  metrical system. | A stylistic description used to characterize Baroque
  music, meaning highly decorated. | Rhythmic and metrical patterns often used in dramatic scores. | Maintaining a steady, unchanging quality, essential for tempo in dance music to support the movement activity."
mcq,"Which term means: ""Maintaining a steady, unchanging quality, essential for tempo in dance music to support the movement activity.""?","consistent","frets | George Frideric Handel | Moog | consistent"
mcq,"What is ""consistent tempos""?","A required feature of Dance Music.","A required feature of Dance Music. | The theoretical systems governing pitch organization, such
  as the rāga of Indian music or the maqām of Arabic music. | The action where dissonant or unstable notes move to
  consonant, stable notes, such as a Dominant Seventh resolving ... | Off-beat rhythms played by percussion instruments (e.g.,
  hi-hats, shakers) in EDM to add complexity and rhythmic in..."
mcq,"Which term means: ""A required feature of Dance Music.""?","consistent tempos","triple metre | consistent tempos | Op 10. No 3 | emotional context"
